UF Código IBGE,Ano,Soma de População Estimada
11,2012,1590011
11,2013,1728214
11,2014,1748531
11,2015,1768204
11,2016,1787279
11,2017,1805788
11,2018,1757589
11,2019,1777225
12,2012,758786
12,2013,776463
12,2014,790101
12,2015,803513
12,2016,816687
12,2017,829619
12,2018,869265
12,2019,881935
13,2012,3590985
13,2013,3807921
13,2014,3873743
13,2015,3938336
13,2016,4001667
13,2017,4063614
13,2018,4080611
13,2019,4144597
14,2012,469524
14,2013,488072
14,2014,496936
14,2015,505665
14,2016,514229
14,2017,522636
14,2018,576568
14,2019,605761
15,2012,7777543
15,2013,7969654
15,2014,8073924
15,2015,8175113
15,2016,8272724
15,2017,8366628
15,2018,8513497
15,2019,8602865
16,2012,698602
16,2013,734996
16,2014,750912
16,2015,766679
16,2016,782295
16,2017,797722
16,2018,829494
16,2019,845731
17,2012,1417694
17,2013,1478164
17,2014,1496880
17,2015,1515126
17,2016,1532902
17,2017,1550194
17,2018,1555229
17,2019,1572866
21,2012,6714314
21,2013,6794301
21,2014,6850884
21,2015,6904241
21,2016,6954036
21,2017,7000229
21,2018,7035055
21,2019,7075181
22,2012,3160748
22,2013,3184166
22,2014,3194718
22,2015,3204028
22,2016,3212180
22,2017,3219257
22,2018,3264531
22,2019,3273227
23,2012,8606005
23,2013,8778576
23,2014,8842791
23,2015,8904459
23,2016,8963663
23,2017,9020460
23,2018,9075649
23,2019,9132078
24,2012,3228198
24,2013,3373959
24,2014,3408510
24,2015,3442175
24,2016,3474998
24,2017,3507003
24,2018,3479010
24,2019,3506853
25,2012,3815171
25,2013,3914421
25,2014,3943885
25,2015,3972202
25,2016,3999415
25,2017,4025558
25,2018,3996496
25,2019,4018127
26,2012,8931028
26,2013,9208550
26,2014,9277727
26,2015,9345173
26,2016,9410336
26,2017,9473266
26,2018,9496294
26,2019,9557071
27,2012,3165472
27,2013,3300935
27,2014,3321730
27,2015,3340932
27,2016,3358963
27,2017,3375823
27,2018,3322820
27,2019,3337357
28,2012,2110867
28,2013,2195662
28,2014,2219574
28,2015,2242937
28,2016,2265779
28,2017,2288116
28,2018,2278308
28,2019,2298696
29,2012,14175341
29,2013,15044137
29,2014,15126371
29,2015,15203334
29,2016,15276566
29,2017,15344447
29,2018,14812617
29,2019,14873064
31,2012,19855332
31,2013,20593356
31,2014,20734097
31,2015,20869101
31,2016,20997560
31,2017,21119536
31,2018,21040662
31,2019,21168791
32,2012,3578067
32,2013,3839366
32,2014,3885049
32,2015,3929911
32,2016,3973697
32,2017,4016356
32,2018,3972388
32,2019,4018650
33,2012,16231365
33,2013,16369179
33,2014,16461173
33,2015,16550024
33,2016,16635996
33,2017,16718956
33,2018,17159960
33,2019,17264943
35,2012,41901219
35,2013,43663669
35,2014,44035304
35,2015,44396484
35,2016,44749699
35,2017,45094866
35,2018,45538936
35,2019,45919049
41,2012,10577755
41,2013,10997465
41,2014,11081692
41,2015,11163018
41,2016,11242720
41,2017,11320892
41,2018,11348937
41,2019,11433957
42,2012,6362734
42,2013,6634254
42,2014,6727148
42,2015,6819190
42,2016,6910553
42,2017,7001161
42,2018,7075494
42,2019,7164788
43,2012,10768025
43,2013,11164043
43,2014,11207274
43,2015,11247972
43,2016,11286500
43,2017,11322895
43,2018,11329605
43,2019,11377239
50,2012,2500365
50,2013,2587269
50,2014,2619657
50,2015,2651235
50,2016,2682386
50,2017,2713147
50,2018,2748023
50,2019,2778986
51,2012,3115336
51,2013,3182113
51,2014,3224357
51,2015,3265486
51,2016,3305531
51,2017,3344544
51,2018,3441998
51,2019,3484466
52,2012,6154996
52,2013,6434048
52,2014,6523222
52,2015,6610681
52,2016,6695855
52,2017,6778772
52,2018,6921161
52,2019,7018354
53,2012,2648532
53,2013,2789761
53,2014,2852372
53,2015,2914830
53,2016,2977216
53,2017,3039444
53,2018,2974703
53,2019,3015268
